?SNDlib native format; type: network; version: 1.0
# network atlanta

# META SECTION
#

META (
  Arrival_process ( EXP-5.0 )
  Traffic_classes ( 3 )
  Bandwidths ( 1.0 10.0 100.0 )
  Scaling ( 1.0 1.0 1.0 )
  Holding_time ( EXP-10.0-1.0 EXP-10.0-1.0 EXP-10.0-1.0)
  Connection_feature ( 0.5 0.5 0.5)
 )

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  N1 ( 283.00 248.00 )
  N2 ( 451.00 201.00 )
  N3 ( 516.00 230.00 )
  N4 ( 324.00 43.00 )
  N5 ( 459.00 31.00 )
  N6 ( 459.00 31.00 )
  N7 ( 459.00 31.00 )
  N8 ( 459.00 31.00 )
  N9 ( 459.00 31.00 )
  N10 ( 459.00 31.00 )
  N11 ( 459.00 31.00 )
  N12 ( 459.00 31.00 )
  N13 ( 459.00 31.00 )
  N14 ( 459.00 31.00 )
  N15 ( 459.00 31.00 )
  N16 ( 459.00 31.00 )
  N17 ( 459.00 31.00 )
  N18 ( 459.00 31.00 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
  L1 ( N1 N13 ) 11000.00 0.00 67.80 0.00 ( 1000.00 950000.00 4000.00 1090000.00 )
  L2 ( N2 N13 ) 7000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L4 ( N3 N13 ) 4000.00 0.00 67.80 0.00 ( 1000.00 1010000.00 4000.00 1150000.00 )
  L5 ( N4 N14 ) 8000.00 0.00 67.80 0.00 ( 1000.00 980000.00 4000.00 1120000.00 )
  L6 ( N5 N14 ) 15000.00 0.00 67.80 0.00 ( 1000.00 575000.00 4000.00 715000.00 )
  L7 ( N6 N14 ) 0.00 0.00 67.80 0.00 ( 1000.00 2060000.00 4000.00 2200000.00 )
  L8 ( N7 N15 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L9 ( N8 N15 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L10 ( N9 N15 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L11 ( N10 N16 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L12 ( N11 N16 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L13 ( N12 N16 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L14 ( N13 N17 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L15 ( N13 N18 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L16 ( N14 N17 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L17 ( N14 N18 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L18 ( N15 N17 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L19 ( N15 N18 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L20 ( N16 N17 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L21 ( N16 N18 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
  L22 ( N17 N18 ) 8000.00 0.00 67.80 0.00 ( 1000.00 875000.00 4000.00 1015000.00 )
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

# 1 Gbps demands ( routing_unit 1)

DEMANDS (
  N12-N16-N17-N13-N3
  N12-N16-N17-N18-N13-N3
  N12-N16-N18-N13-N3
  N12-N16-N18-N17-N13-N3
  N12-N16-N17-N14-N4
  N12-N16-N17-N18-N14-N4
  N12-N16-N18-N14-N4
  N12-N16-N18-N17-N14-N4
  N12-N16-N17-N14-N5
  N12-N16-N17-N18-N14-N5
  N12-N16-N18-N14-N5
  N12-N16-N18-N17-N14-N5
  N12-N16-N17-N14-N6
  N12-N16-N17-N18-N14-N6
  N12-N16-N18-N14-N6
  N12-N16-N18-N17-N14-N6
  N12-N16-N17-N15-N7
  N12-N16-N17-N18-N15-N7
  N12-N16-N18-N15-N7
  N12-N16-N18-N17-N15-N7
  N12-N16-N17-N15-N8
  N12-N16-N17-N18-N15-N8
  N12-N16-N18-N15-N8
  N12-N16-N18-N17-N15-N8
  N12-N16-N17-N15-N9
  N12-N16-N17-N18-N15-N9
  N12-N16-N18-N15-N9
  N12-N16-N18-N17-N15-N9
  N12-N16-N10
  N12-N16-N11
  N12-N16-N17-N13
  N12-N16-N17-N18-N13
  N12-N16-N18-N13
  N12-N16-N18-N17-N13
  N12-N16-N17-N14
  N12-N16-N17-N18-N14
  N12-N16-N18-N14
  N12-N16-N18-N17-N14
  N12-N16-N17-N15
  N12-N16-N17-N18-N15
  N12-N16-N18-N15
  N12-N16-N18-N17-N15
  N12-N16
  N12-N16-N17
  N12-N16-N18-N17
  N12-N16-N17-N18
  N12-N16-N18
  N13-N1
  N13-N2
  N13-N3
  N13-N17-N14-N4
  N13-N17-N18-N14-N4
  N13-N18-N14-N4
  N13-N18-N17-N14-N4
  N13-N17-N14-N5
  N13-N17-N18-N14-N5
  N13-N18-N14-N5
  N13-N18-N17-N14-N5
  N13-N17-N14-N6
  N13-N17-N18-N14-N6
  N13-N18-N14-N6
  N13-N18-N17-N14-N6
  N13-N17-N15-N7
  N13-N17-N18-N15-N7
  N13-N18-N15-N7
  N13-N18-N17-N15-N7
  N13-N17-N15-N8
  N13-N17-N18-N15-N8
  N13-N18-N15-N8
  N13-N18-N17-N15-N8
  N13-N17-N15-N9
  N13-N17-N18-N15-N9
  N13-N18-N15-N9
  N13-N18-N17-N15-N9
  N13-N17-N16-N10
  N13-N17-N18-N16-N10
  N13-N18-N16-N10
  N13-N18-N17-N16-N10
  N13-N17-N16-N11
  N13-N17-N18-N16-N11
  N13-N18-N16-N11
  N13-N18-N17-N16-N11
  N13-N17-N16-N12
  N13-N17-N18-N16-N12
  N13-N18-N16-N12
  N13-N18-N17-N16-N12
  N13-N17-N14
  N13-N17-N18-N14
  N13-N18-N14
  N13-N18-N17-N14
  N13-N17-N15
  N13-N17-N18-N15
  N13-N18-N15
  N13-N18-N17-N15
  N13-N17-N16
  N13-N17-N18-N16
  N13-N18-N16
  N13-N18-N17-N16
  N13-N17
  N13-N18-N17
  N13-N17-N18
  N13-N18
  N14-N17-N13-N1
  N14-N17-N18-N13-N1
  N14-N18-N13-N1
  N14-N18-N17-N13-N1
  N14-N17-N13-N2
  N14-N17-N18-N13-N2
  N14-N18-N13-N2
  N14-N18-N17-N13-N2
  N14-N17-N13-N3
  N14-N17-N18-N13-N3
  N14-N18-N13-N3
  N14-N18-N17-N13-N3
  N14-N4
  N14-N5
  N14-N6
  N14-N17-N15-N7
  N14-N17-N18-N15-N7
  N14-N18-N15-N7
  N14-N18-N17-N15-N7
  N14-N17-N15-N8
  N14-N17-N18-N15-N8
  N14-N18-N15-N8
  N14-N18-N17-N15-N8
  N14-N17-N15-N9
  N14-N17-N18-N15-N9
  N14-N18-N15-N9
  N14-N18-N17-N15-N9
  N14-N17-N16-N10
  N14-N17-N18-N16-N10
  N14-N18-N16-N10
  N14-N18-N17-N16-N10
  N14-N17-N16-N11
  N14-N17-N18-N16-N11
  N14-N18-N16-N11
  N14-N18-N17-N16-N11
  N14-N17-N16-N12
  N14-N17-N18-N16-N12
  N14-N18-N16-N12
  N14-N18-N17-N16-N12
  N14-N17-N13
  N14-N17-N18-N13
  N14-N18-N13
  N14-N18-N17-N13
  N14-N17-N15
  N14-N17-N18-N15
  N14-N18-N15
  N14-N18-N17-N15
  N14-N17-N16
  N14-N17-N18-N16
  N14-N18-N16
  N14-N18-N17-N16
  N14-N17
  N14-N18-N17
  N14-N17-N18
  N14-N18
  N15-N17-N13-N1
  N15-N17-N18-N13-N1
  N15-N18-N13-N1
  N15-N18-N17-N13-N1
  N15-N17-N13-N2
  N15-N17-N18-N13-N2
  N15-N18-N13-N2
  N15-N18-N17-N13-N2
  N15-N17-N13-N3
  N15-N17-N18-N13-N3
  N15-N18-N13-N3
  N15-N18-N17-N13-N3
  N15-N17-N14-N4
  N15-N17-N18-N14-N4
  N15-N18-N14-N4
  N15-N18-N17-N14-N4
  N15-N17-N14-N5
  N15-N17-N18-N14-N5
  N15-N18-N14-N5
  N15-N18-N17-N14-N5
  N15-N17-N14-N6
  N15-N17-N18-N14-N6
  N15-N18-N14-N6
  N15-N18-N17-N14-N6
  N15-N7
  N15-N8
  N15-N9
  N15-N17-N16-N10
  N15-N17-N18-N16-N10
  N15-N18-N16-N10
  N15-N18-N17-N16-N10
  N15-N17-N16-N11
  N15-N17-N18-N16-N11
  N15-N18-N16-N11
  N15-N18-N17-N16-N11
  N15-N17-N16-N12
  N15-N17-N18-N16-N12
  N15-N18-N16-N12
  N15-N18-N17-N16-N12
  N15-N17-N13
  N15-N17-N18-N13
  N15-N18-N13
  N15-N18-N17-N13
  N15-N17-N14
  N15-N17-N18-N14
  N15-N18-N14
  N15-N18-N17-N14
  N15-N17-N16
  N15-N17-N18-N16
  N15-N18-N16
  N15-N18-N17-N16
  N15-N17
  N15-N18-N17
  N15-N17-N18
  N15-N18
  N16-N17-N13-N1
  N16-N17-N18-N13-N1
  N16-N18-N13-N1
  N16-N18-N17-N13-N1
  N16-N17-N13-N2
  N16-N17-N18-N13-N2
  N16-N18-N13-N2
  N16-N18-N17-N13-N2
  N16-N17-N13-N3
  N16-N17-N18-N13-N3
  N16-N18-N13-N3
  N16-N18-N17-N13-N3
  N16-N17-N14-N4
  N16-N17-N18-N14-N4
  N16-N18-N14-N4
  N16-N18-N17-N14-N4
  N16-N17-N14-N5
  N16-N17-N18-N14-N5
  N16-N18-N14-N5
  N16-N18-N17-N14-N5
  N16-N17-N14-N6
  N16-N17-N18-N14-N6
  N16-N18-N14-N6
  N16-N18-N17-N14-N6
  N16-N17-N15-N7
  N16-N17-N18-N15-N7
  N16-N18-N15-N7
  N16-N18-N17-N15-N7
  N16-N17-N15-N8
  N16-N17-N18-N15-N8
  N16-N18-N15-N8
  N16-N18-N17-N15-N8
  N16-N17-N15-N9
  N16-N17-N18-N15-N9
  N16-N18-N15-N9
  N16-N18-N17-N15-N9
  N16-N10
  N16-N11
  N16-N12
  N16-N17-N13
  N16-N17-N18-N13
  N16-N18-N13
  N16-N18-N17-N13
  N16-N17-N14
  N16-N17-N18-N14
  N16-N18-N14
  N16-N18-N17-N14
  N16-N17-N15
  N16-N17-N18-N15
  N16-N18-N15
  N16-N18-N17-N15
  N16-N17
  N16-N18-N17
  N16-N17-N18
  N16-N18
  N17-N13-N1
  N17-N18-N13-N1
  N17-N13-N2
  N17-N18-N13-N2
  N17-N13-N3
  N17-N18-N13-N3
  N17-N14-N4
  N17-N18-N14-N4
  N17-N14-N5
  N17-N18-N14-N5
  N17-N14-N6
  N17-N18-N14-N6
  N17-N15-N7
  N17-N18-N15-N7
  N17-N15-N8
  N17-N18-N15-N8
  N17-N15-N9
  N17-N18-N15-N9
  N17-N16-N10
  N17-N18-N16-N10
  N17-N16-N11
  N17-N18-N16-N11
  N17-N16-N12
  N17-N18-N16-N12
  N17-N13
  N17-N18-N13
  N17-N14
  N17-N18-N14
  N17-N15
  N17-N18-N15
  N17-N16
  N17-N18-N16
  N17-N13-N18
  N17-N14-N18
  N17-N15-N18
  N17-N16-N18
  N17-N18
  N18-N13-N1
  N18-N17-N13-N1
  N18-N13-N2
  N18-N17-N13-N2
  N18-N13-N3
  N18-N17-N13-N3
  N18-N14-N4
  N18-N17-N14-N4
  N18-N14-N5
  N18-N17-N14-N5
  N18-N14-N6
  N18-N17-N14-N6
  N18-N15-N7
  N18-N17-N15-N7
  N18-N15-N8
  N18-N17-N15-N8
  N18-N15-N9
  N18-N17-N15-N9
  N18-N16-N10
  N18-N17-N16-N10
  N18-N16-N11
  N18-N17-N16-N11
  N18-N16-N12
  N18-N17-N16-N12
  N18-N13
  N18-N17-N13
  N18-N14
  N18-N17-N14
  N18-N15
  N18-N17-N15
  N18-N16
  N18-N17-N16
  N18-N13-N17
  N18-N14-N17
  N18-N15-N17
  N18-N16-N17
  N18-N17
)
